STABBR,INSTNM,CITY,ZIP,INSTURL,ALIAS,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE,ICLEVEL,UGDS,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,SATVRMID,SATMTMID,SATWRMID,SAT_AVG,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,FASAPPS,C100_4,C100_L4,TRANS_4,TRANS_L4,UGDS_MEN,UGDS_WOMEN
AL,James H Faulkner State Community College,Bay Minette,36507-2698,www.faulknerstate.edu,,4260,7650,,2,4286,0,0,0,0,0,0,0,0,0,,,,,,,,,0.6979,0.2259,0.032,0.0084,0.0177,0.0014,0.0152,0.0007,0.0009,5500,11000,5500,5832,5215,5500,5500,1392,,0.074,,0,0.3682,0.6318
AL,Faulkner University,Montgomery,36109-3390,www.faulkner.edu,Faulkner,18750,18750,,1,2367,0,1,0,0,0,0,0,0,0,,,,,,,,,0.3874,0.5137,0.0258,0.0042,0.0063,0.0013,0.0173,0.0182,0.0258,15500,22000,12500,18667,10500,16750,14250,3460,0.1193,,0.4954,,0.3954,0.6046
AL,Gadsden State Community College,Gadsden,35903,www.gadsdenstate.edu,GSCC | Gadsden State | Gadsden Community College,3168,5880,,2,4917,1,0,0,0,0,0,0,0,0,,,,,,,,,0.6921,0.2076,0.0305,0.0047,0.0128,0.0018,0.0185,0.015,0.0169,,,,,,,,1862,,0.0609,,0.1399,0.4015,0.5985
AL,New Beginning College of Cosmetology,Albertville,35951,www.nbccosmetology.com,,,,,3,115,0,0,0,0,0,0,0,0,0,,,,,,,,,0.8957,0.0348,0.0696,0,0,0,0,0,0,5500,5500,5972.5,,,5500,5500,3329,,0.375,,0,0.0174,0.9826
AL,George C Wallace State Community College-Dothan,Dothan,36303-9234,www.wallace.edu,WALLACE DOTHAN|WCCD,3960,7350,,2,4293,0,0,0,0,0,0,0,0,0,,,,,,,,,0.6273,0.324,0.0221,0.0072,0.0049,0.0009,0.0126,0,0.0009,,,,,,,,152,,0.034,,0.1708,0.3534,0.6466
AL,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,www.wallacestate.edu,Wallace State Community College |Wallace State - Hanceville,4260,7650,,2,4920,0,0,0,0,0,0,0,0,0,,,,,,,,,0.863,0.0612,0.0362,0.0065,0.0089,0,0,0.0059,0.0183,8000,11186,6865,8708,5500,8000,7587.5,2786,,0.114,,0.2235,0.375,0.625
AL,George C Wallace State Community College-Selma,Selma,36703-2808,www.wccs.edu,Wallace Community College - Selma,3960,7350,,2,1513,0,1,0,0,0,0,0,0,0,,,,,,,,,0.1956,0.7449,0.0026,0.004,0.0013,0,0.0033,0.004,0.0443,,,,,,,,3467,,0.0851,,0.0851,0.3543,0.6457
AL,Herzing University-Birmingham,Birmingham,35209,www.herzing.edu/,,12790,12790,1,1,302,0,0,0,0,0,0,0,0,0,,,,,,,,,0.3543,0.5265,0.0166,0.0066,0,0,0.0563,0,0.0397,10628,23216.5,7750,10971,9607,10500,11095,1379,0,,0,,0.3576,0.6424
AL,Huntingdon College,Montgomery,36106-2148,www.huntingdon.edu,,24550,24550,0.5839,1,1149,0,0,0,0,0,0,0,0,0,510,490,,1026,22,22,21,,0.6388,0.1993,0.0252,0.0078,0.0122,0.0017,0.0261,0.0061,0.0827,16701.5,26230,9014.5,21500,12000,18750,14947,8459,0.3004,,0,,0.5065,0.4935
AL,Heritage Christian University,Florence,35630-9977,www.hcu.edu,,9792,9792,1,1,62,0,0,0,0,0,0,0,0,0,,,,,,,,,0.7419,0.1129,0.0484,0,0.0323,0.0161,0,0.0161,0.0323,9875,,,,,,,684,0.25,,0,,0.9194,0.0806
AL,J F Drake State Community and Technical College,Huntsville,35811,www.drakestate.edu,Drake State,3384,6096,,2,974,1,0,0,0,0,0,0,0,0,,,,,,,,,0.3337,0.5965,0.0246,0.0082,0.0113,0.001,0.0185,0,0.0062,,,,,,,,32,,0.0181,,0.1205,0.4435,0.5565
AL,Jacksonville State University,Jacksonville,36265,www.jsu.edu/,,7092,13884,0.8326,1,7060,0,0,0,0,0,0,0,0,0,495,485,,1041,23,24,21,,0.6834,0.2382,0.0132,0.0055,0.0072,0.001,0,0.0234,0.028,15871,23000,11000,17500,14137,17322,15250,1053,0.0869,,0,,0.4285,0.5715
AL,Jefferson Davis Community College,Brewton,36426,www.jdcc.edu,JDCC,3968,7358,,2,1033,0,0,0,0,0,0,0,0,0,,,,,,,,,0.5857,0.2982,0.0077,0.0252,0.0252,0,0.0184,0,0.0397,,,,,,,,3054,,0.1752,,0.2409,0.4327,0.5673
AL,Jefferson State Community College,Birmingham,35215-3098,www.jeffstateonline.com,Jeff State | JSCC | Jefferson State,4320,7710,,2,7443,0,0,0,0,0,0,0,0,0,,,,,,,,,0.6696,0.2246,0.0486,0.0183,0.0024,0.0008,0.0301,0.0054,0.0001,4500,8916.5,3500,4500,4000,4500,4500,709,,0.0197,,0.2074,0.3881,0.6119
AL,John C Calhoun State Community College,Tanner,35671,www.calhoun.edu,Calhoun Community College,4260,7650,,2,9380,0,0,0,0,0,0,0,0,0,,,,,,,,,0.6528,0.194,0.0435,0.0257,0.0182,0.0006,0.0428,0.0062,0.0162,5500,10500,5500,5750,5500,5500,5500,4404,,0.0732,,0.1747,0.4334,0.5666
AL,Judson College,Marion,36756,www.judson.edu,,16258,16258,0.6525,1,376,0,0,0,0,0,0,0,0,1,,,,,,,,,0.7553,0.1622,0.016,0.0106,0.0053,0,0.0053,0.0133,0.0319,16797.5,26000,14000,,,19000,15625,5395,0.3684,,0.3684,,0.0319,0.9681
AL,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,www.lawsonstate.edu,,4290,7710,,2,2905,1,0,0,0,0,0,0,0,0,,,,,,,,,0.1511,0.7384,0.0093,0.0055,0.0017,0.0017,0.0072,0.0028,0.0823,,,,,,,,284,,0.0314,,0.3135,0.4034,0.5966
AL,University of West Alabama,Livingston,35470,www.uwa.edu,,8018,14886,0.7199,1,1916,0,1,0,0,0,0,0,0,0,,,,990,21,21,20,,0.4421,0.4055,0.0224,0.0016,0.0016,0.001,0.013,0.06,0.0527,12500,24253,9500,13834,11000,13718.5,12000,2555,0.1951,,0.2548,,0.441,0.559
AL,Lurleen B Wallace Community College,Andalusia,36420-1418,www.lbwcc.edu,Lurleen B. Wallace Community College |LBW Community College |LBWCC,4230,7620,,2,1393,0,0,0,0,0,0,0,0,0,,,,,,,,,0.692,0.2728,0.0122,0.0057,0.0043,0,0.0108,0.0022,0,,,,,,,,1122,,0.1114,,0.2334,0.379,0.621
AL,Marion Military Institute,Marion,36756-3207,www.marionmilitary.edu,,8778,14778,0.6139,2,433,0,0,0,0,0,0,0,0,0,550,558,,1055,22,22,21,,0.5727,0.2263,0.1016,0.0346,0.0115,0.0046,0.0323,0,0.0162,5500,11500,5500,6500,5500,5500,5500,1140,,0.2362,,0.428,0.8129,0.1871
AL,Miles College,Fairfield,35064-2621,www.miles.edu,,11604,11604,,1,1778,1,0,0,0,0,0,0,0,0,,,,,,,,,0.0169,0.9719,0.0028,0,0,0.0006,0.0056,0,0.0022,12250,36789.5,9500,16750,9500,10862,13461,406,0.0824,,0,,0.5107,0.4893
AL,University of Mobile,Mobile,36613-2842,www.umobile.edu,,19475,19475,0.5847,1,1460,0,0,0,0,0,0,0,0,0,470,465,,1014,22,23,20,,0.6479,0.211,0.0158,0.0048,0.0178,0,0.0233,0.0363,0.0432,21950,27000,20000,23750,18750,24250,21255,1533,0.249,,0.0488,,0.35,0.65
AL,University of Montevallo,Montevallo,35115-6000,www.montevallo.edu,,10660,21220,0.743,1,2644,0,0,0,0,0,0,0,0,0,548,528,533,1070,23,25,21,,0.7266,0.1384,0.031,0.0064,0.0061,0,0.0234,0.0136,0.0545,15110,23266,11000,16061,14250,16500,15000,738,0.2071,,0.3097,,0.3343,0.6657
AL,Northwest-Shoals Community College,Muscle Shoals,35661,www.nwscc.edu,,4231,7621,,2,3304,0,0,0,0,0,0,0,0,0,,,,,,,,,0.7912,0.125,0.0339,0.0036,0.0088,0.0006,0.0012,0.0033,0.0324,4750,11250,4500,5250,4500,5250,4500,1131,,0.041,,0.0357,0.4225,0.5775
AL,University of North Alabama,Florence,35632-0001,www.una.edu,,7412,13268,0.6788,1,5485,0,0,0,0,0,0,0,0,0,506,484,,1029,22,23,21,,0.7123,0.1384,0.0272,0.0047,0.0093,0.0009,0.0235,0.0425,0.0412,12638,21500,8250,14000,11238,13346,12500,2478,0.1204,,0.3543,,0.4257,0.5743
AL,Northeast Alabama Community College,Rainsville,35986,www.nacc.edu,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",4260,7650,,2,2225,0,0,0,0,0,0,0,0,0,,,,,,,,,0.867,0.0225,0.0665,0.0054,0.0265,0.0009,0.0054,0.0045,0.0013,3500,4500,3023,3500,3400,3500,3500,2331,,0.1888,,0.1451,0.3694,0.6306
AL,Oakwood University,Huntsville,35896,www.oakwood.edu,,16720,16720,0.4787,1,1878,1,0,0,0,0,0,0,0,0,476,450,,928,20,20,19,,0.0059,0.8514,0.0234,0.0016,0.0059,0,0,0.0783,0.0335,23500,27250,21250,25000,21500,25125,23000,1609,0.1988,,0,,0.4318,0.5682
AL,Alabama Southern Community College,Monroeville,36460,www.ascc.edu,,4260,7650,,2,1180,0,0,0,0,0,0,0,0,0,,,,,,,,,0.5441,0.4203,0.0059,0.0042,0.011,0,0.0068,0.0008,0.0068,,,,,,,,820,,0.1863,,0,0.3653,0.6347
IL,Prince Institute-Southeast,Elmhurst,60126,princeinstitute.edu,Prince Institute |Prince Institute of Professional Studies,9685,9685,,2,84,0,0,0,0,0,0,0,0,0,,,,,,,,,0.7976,0.131,0.0714,0,0,0,0,0,0,15834,20992,14405,,,15366,16406.5,1059,,0.1111,,0.1111,0.0714,0.9286
AL,Reid State Technical College,Evergreen,36401,www.rstc.edu,,4320,7710,,2,425,0,0,0,0,0,0,0,0,0,,,,,,,,,0.5106,0.4588,0.0071,0.0024,0.0094,0,0.0071,0,0.0047,,,,,,,,112,,0.1696,,0.0804,0.3247,0.6753
AL,Bishop State Community College,Mobile,36603-5898,www.bishop.edu,,4260,7650,,2,2927,1,0,0,0,0,0,0,0,0,,,,,,,,,0.2504,0.671,0.0191,0.0157,0.0075,0.0014,0.0123,0.0198,0.0027,,,,,,,,400,,0.088,,0.0949,0.3926,0.6074
AL,Samford University,Birmingham,35229-2240,www.samford.edu,,27324,27324,0.5954,1,3033,0,0,0,0,0,0,0,0,0,565,558,555,1165,26,27,24,,0.8183,0.0656,0.06,0.0092,0.002,0,0.0115,0.0297,0.0036,17250,23000,9500,17187.5,17500,18610,17000,3120,0.4766,,0,,0.3508,0.6492
AL,Selma University,Selma,36701,selmauniversity.edu,,6680,6680,,1,472,1,1,0,0,0,0,0,0,0,,,,,,,,,0.0106,0.9703,0,0,0,0,0.0042,0,0.0148,5050,,,5050,5500,5050,5275,783,0.0378,,0.0366,,0.4131,0.5869
AL,Shelton State Community College,Tuscaloosa,35405-8522,www.sheltonstate.edu,,3960,7350,,2,4755,1,0,0,0,0,0,0,0,0,,,,,,,,,0.5613,0.3466,0.0036,0.0084,0.004,0.0002,0.0145,0.0015,0.0599,,,,,,,,430,,0.0423,,0.4743,0.4446,0.5554
AL,Snead State Community College,Boaz,35957-0734,www.snead.edu,,4320,7710,,2,2098,0,0,0,0,0,0,0,0,0,,,,,,,,,0.7827,0.0648,0.0825,0.0076,0.0238,0,0,0.0086,0.03,3500,6374,3500,3500,3500,3500,3500,2819,,0.2365,,0.201,0.3999,0.6001
AL,University of South Alabama,Mobile,36688-0002,www.southalabama.edu,,7188,14076,0.8335,1,11267,0,0,0,0,0,0,0,0,0,510,518,485,1048,23,24,22,7,0.6149,0.2374,0.0276,0.0345,0.0065,0.0013,0.0247,0.0382,0.0149,13000,24711,9294,14500,11100,14500,12500,1789,0.1538,,0.3221,,0.4388,0.5612
AL,Spring Hill College,Mobile,36608-1791,www.shc.edu,Springhill|Springhill College|SHC|the Hill,32468,32468,0.5177,1,1215,0,0,0,0,0,0,0,0,0,535,538,,1116,25,25,23,,0.6733,0.1556,0.0626,0.0107,0.0074,0,0.0346,0.0222,0.0337,20500,27000,15738,21995,16125,21000,20046,5071,0.5087,,0,,0.3967,0.6033
AL,Southeastern Bible College,Birmingham,35244-2083,www.sebc.edu,,11370,11370,1,1,170,0,0,0,0,0,0,0,0,0,,,,930,20,21,18,,0.6176,0.3118,0.0176,0.0059,0.0059,0,0.0059,0.0059,0.0294,20000,24000,14000,19316,21150,19791,20125,665,0.1538,,0,,0.5529,0.4471
AL,Stillman College,Tuscaloosa,35401,www.stillman.edu,,15865,15865,0.5901,1,1056,1,0,0,0,0,0,0,0,0,448,424,,811,17,16,16,,0.0748,0.9034,0.017,0.0019,0,0,0,0.0019,0.0009,15575,38218,9500,19000,14250,15250,15750,109,0.1208,,0,,0.5398,0.4602
AL,Talladega College,Talladega,35160,www.talladega.edu,,12509,12509,,1,819,1,0,0,0,0,0,0,0,0,,,,,,,,,0.0647,0.8742,0.044,0.0024,0,0,0,0,0.0147,15625,27745,9500,19292,12863,15900,15000,594,0.3376,,0,,0.5849,0.4151
AL,H Councill Trenholm State Community College,Montgomery,36108-3199,www.trenholmstate.edu,Trenholm State,3336,6048,,2,1230,1,0,0,0,0,0,0,0,0,,,,,,,,,0.3951,0.5756,0.0106,0.013,0,0,0.0024,0.0008,0.0024,,,,,,,,700,,0.0772,,0.0705,0.5057,0.4943
AL,Troy University,Troy,36082-0001,www.troy.edu,TROY,7564,14092,0.4414,1,15025,0,0,0,0,0,0,0,0,0,,,,1050,23,23,21,,0.5132,0.3386,0.0329,0.0078,0.0082,0.0011,0.0244,0.0282,0.0455,14500,25000,11016.5,15750,12250,15541,13750,842,0.1456,,0.3404,,0.3884,0.6116
AL,Tuskegee University,Tuskegee,36088-1920,www.tuskegee.edu,,19570,19570,0.4922,1,2588,1,0,0,0,0,0,0,0,0,455,465,,978,22,20,20,,0.0035,0.7736,0.0035,0.0015,0.0004,0,0,0.0027,0.2148,21500,33500,14700,24000,19500,23812.5,21000,6837,0.2133,,0.0623,,0.4258,0.5742
AL,United States Sports Academy,Daphne,36526-7055,www.ussa.edu,The Academy |America's Sports University,,,,1,90,0,0,0,0,0,0,0,0,0,,,,,,,,,0.4333,0.1222,0.0667,0.0222,0,0,0.0444,0,0.3111,10225,25503.5,6656,8000,10500,10500,9718,1250,,,,,0.8111,0.1889
AL,Bevill State Community College,Jasper,35501,www.bscc.edu,,4290,7680,,2,3210,0,0,0,0,0,0,0,0,0,,,,,,,,,0.8009,0.1573,0.014,0.0034,0.0016,0,0.0097,0,0.0131,,,,,,,,100,,0.0831,,0.1824,0.3654,0.6346
AK,University of Alaska Anchorage,Anchorage,99508,www.uaa.alaska.edu,UAA,5494,16466,,1,12865,0,0,0,0,0,0,0,0,0,,,,,,,,,0.5747,0.0358,0.0761,0.0778,0.0653,0.0086,0.098,0.0181,0.0457,10261,19449.5,9250,10500,9531,10250,10337,2223,0.0802,,0,,0.4236,0.5764
AK,Alaska Bible College,Palmer,99645,www.akbible.edu/,,9300,9300,,1,27,0,0,0,0,0,0,0,0,0,,,,,,,,,0.8519,0,0.037,0,0.0741,0,0.037,0,0,,,,,,,,4746,,,,,0.5556,0.4444
AK,University of Alaska Fairbanks,Fairbanks,99775-7500,www.uaf.edu,UAF,5246,16238,,1,5536,0,0,1,0,0,0,1,0,0,,,,,,,,,0.4259,0.021,0.0522,0.0126,0.1284,0.0027,0.0401,0.011,0.306,10283,19355,8598.5,9828,10981,9750,10500,14,0.1494,,0.2045,,0.4429,0.5571
AK,University of Alaska Southeast,Juneau,99801-8697,www.uas.alaska.edu,,5901,16705,,1,1428,0,0,1,0,0,0,0,0,0,,,,,,,,,0.4748,0.0119,0.0623,0.0357,0.1029,0.0147,0.0686,0.0049,0.2241,9804,16875,8822,10493,9500,9750,9902,2095,0.0367,,0.2688,,0.348,0.652
AK,Alaska Pacific University,Anchorage,99508,www.alaskapacific.edu,,19610,19610,0.4207,1,275,0,0,0,0,0,0,0,0,0,555,503,530,1054,23,20,21,,0.5309,0.0291,0.0364,0.0255,0.1855,0.0109,0.0945,0,0.0873,18750,23250,12500,18750,18000,18750,18000,574,0.5333,,0.2333,,0.3527,0.6473
AK,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,www.avtec.edu/,AVTEC,,,,2,889,0,0,0,0,0,0,0,0,0,,,,,,,,,0.5388,0.0112,0.0427,0.0157,0.1879,0.0112,0.0529,0,0.1395,5500,,,5499,6422.5,6825,5500,123,,0.7703,,0.064,0.7885,0.2115
AK,Charter College-Anchorage,Anchorage,99508,www.chartercollege.edu,,19532,19532,,1,3256,0,0,0,0,0,0,0,0,0,,,,,,,,,0.4373,0.0599,0.3093,0.0123,0.0405,0.0577,0.0436,0,0.0393,10047,13875,6334,11438,9500,10500,9540.5,203,0.2364,,0,,0.2908,0.7092
AK,Alaska Career College,Anchorage,99507-1033,www.alaskacareercollege.edu,,,,,2,479,0,0,0,0,0,0,0,0,0,,,,,,,,,0.38,0.096,0.1002,0.1983,0.1733,0.0084,0.0334,0,0.0104,7832.5,8994,4750,7832.5,7547.5,8249.5,7199,5424,,0.7221,,0,0.1378,0.8622
AZ,Everest College-Phoenix,Phoenix,85021-1641,www.everestcollegephoenix.edu,Academy of Business College | |Rhodes College,12204,12204,,1,4102,0,0,0,0,0,0,0,0,0,,,,,,,,,0.3162,0.4405,0.0763,0.0017,0.0207,0.0046,0.0373,0,0.1026,9481.5,9500,8640,9500,7429,9342,9500,767,0.1379,,0,,0.2626,0.7374
AZ,Collins College,Phoenix,85040,www.collinscollege.edu,,,,,1,83,0,0,0,0,0,0,0,0,0,,,,,,,,,0.3253,0.0843,0.1566,0,0.0241,0,0.0241,0,0.3855,35160,47000,20000,33595,36824.5,33841,37166,5997,0.3608,,0,,0.7831,0.2169
AZ,Empire Beauty School-Paradise Valley,Phoenix,85032,www.empire.edu,,,,,3,25,0,0,0,0,0,0,0,0,0,,,,,,,,,0.76,0.04,0.12,0,0,0.04,0.04,0,0,7752,9588,4380,7659,9500,8165,7649,216,,0,,0,0.16,0.84
AZ,Empire Beauty School-Tucson,Tucson,85716,www.empire.edu,,,,,3,126,0,0,0,0,0,0,0,0,0,,,,,,,,,0.2143,0.0873,0.5794,0.0159,0.0873,0.0079,0,0,0.0079,7899,9833,4665,7851,8167,7442,8100,3368,,0,,0,0.0714,0.9286
AZ,Thunderbird School of Global Management,Glendale,85306-6000,www.thunderbird.edu,Thunderbird,,,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,3077,,,,,0,1
AZ,American Indian College Inc,Phoenix,85021,www.aicag.edu/,,11700,11700,,1,89,0,0,1,0,0,0,1,0,0,,,,,,,,,0.0449,0.0562,0.1461,0.0225,0.6854,0.0449,0,0,0,10000,18835,5500,14000,9500,8742.5,11000,11,0,,0.2353,,0.4607,0.5393
AZ,American Institute of Technology,Phoenix,85043-4729,www.ait-schools.com,,,,,3,266,0,0,0,0,0,0,0,0,0,,,,,,,,,0.4737,0.2481,0.1729,0.0226,0.0113,0.0038,0.0414,0,0.0263,6030,6135,5710,6232,5945,6042,5997,63,,0.0568,,0,0.8872,0.1128
AZ,Carrington College-Phoenix,Phoenix,85051-4063,www.carrington.edu,Apollo College-Phoenix |Carrington College-Phoenix,,,0.9904,2,617,0,0,0,0,0,0,0,0,0,,,,,,,,,0.2674,0.0616,0.5754,0.0113,0.0713,0,0.0049,0,0.0081,9500,9500,4829.5,9500,9500,9500,9500,1497,,0.2178,,0.046,0.1378,0.8622
AZ,Carrington College-Mesa,Mesa,85210,www.carrington.edu,Carrington College-Mesa,,,1,2,718,0,0,0,0,0,0,0,0,0,,,,,,,,,0.3677,0.0543,0.3886,0.0195,0.1476,0.0056,0.0125,0,0.0042,9500,9500,4829.5,9500,9500,9500,9500,5183,,0.1084,,0.0455,0.1685,0.8315
AZ,Carrington College-Tucson,Tucson,85745,www.carrington.edu,Carrington College-Tucson,,,1,2,424,0,0,0,0,0,0,0,0,0,,,,,,,,,0.2759,0.0542,0.5943,0.0071,0.0425,0.0024,0.0142,0,0.0094,9500,9500,4829.5,9500,9500,9500,9500,5183,,0.0742,,0.0393,0.191,0.809
AZ,CollegeAmerica-Flagstaff,Flagstaff,86001,www.collegeamerica.edu,,16968,16968,,1,176,0,0,1,0,0,0,1,0,0,,,,,,,,,0.1989,0.0114,0.125,0,0.6307,0,0.0057,0,0.0284,16633,25607.5,9500,20000,9944,15769,17311.5,5183,0.2667,,0,,0.1875,0.8125
AZ,Arizona Academy of Beauty-East,Tucson,85712,www.arizonaacademy.com,,,,,3,32,0,0,0,0,0,0,0,0,0,,,,,,,,,0.4688,0.0625,0.3438,0,0,0.0625,0.0625,0,0,5500,5500,,,,5931,4300,1197,,0.4,,0,0,1
